module_id,parameter,value,unit,source,source_type,evidence_level,date_version,used_in_commercial_decision
MOD_TOPCON_JINKO_JKM575N_72HL4_V,voc_v,50.88,V,https://www.jinkosolar.com/uploads/JKM555-575N-72HL4-%28V%29-F1-EN%20%28IEC%202016%29.pdf,manufacturer_datasheet_seed,manufacturer_datasheet,SOLARYN_V9.2.1_packaged_seed_2026-08-25,yes
MOD_TOPCON_JINKO_JKM575N_72HL4_V,isc_a,14.39,A,https://www.jinkosolar.com/uploads/JKM555-575N-72HL4-%28V%29-F1-EN%20%28IEC%202016%29.pdf,manufacturer_datasheet_seed,manufacturer_datasheet,SOLARYN_V9.2.1_packaged_seed_2026-08-25,yes
MOD_TOPCON_JINKO_JKM575N_72HL4_V,alpha_isc_pct_c,0.046,%/C,https://www.jinkosolar.com/uploads/JKM555-575N-72HL4-%28V%29-F1-EN%20%28IEC%202016%29.pdf,manufacturer_datasheet_seed,manufacturer_datasheet,SOLARYN_V9.2.1_packaged_seed_2026-08-25,yes
MOD_TOPCON_JINKO_JKM575N_72HL4_V,beta_voc_pct_c,-0.25,%/C,https://www.jinkosolar.com/uploads/JKM555-575N-72HL4-%28V%29-F1-EN%20%28IEC%202016%29.pdf,manufacturer_datasheet_seed,manufacturer_datasheet,SOLARYN_V9.2.1_packaged_seed_2026-08-25,yes
MOD_TOPCON_JINKO_JKM575N_72HL4_V,gamma_pmax_pct_c,-0.3,%/C,https://www.jinkosolar.com/uploads/JKM555-575N-72HL4-%28V%29-F1-EN%20%28IEC%202016%29.pdf,manufacturer_datasheet_seed,manufacturer_datasheet,SOLARYN_V9.2.1_packaged_seed_2026-08-25,yes
MOD_TOPCON_JINKO_JKM575N_72HL4_V,cells_in_series,72,count,https://www.jinkosolar.com/uploads/JKM555-575N-72HL4-%28V%29-F1-EN%20%28IEC%202016%29.pdf,manufacturer_datasheet_seed,manufacturer_datasheet,SOLARYN_V9.2.1_packaged_seed_2026-08-25,yes
MOD_TOPCON_JINKO_JKM575N_72HL4_V,module_area_m2,2.583252,m2,https://www.jinkosolar.com/uploads/JKM555-575N-72HL4-%28V%29-F1-EN%20%28IEC%202016%29.pdf,manufacturer_datasheet_seed,manufacturer_datasheet,SOLARYN_V9.2.1_packaged_seed_2026-08-25,yes
MOD_TOPCON_JINKO_JKM575N_72HL4_V,module_efficiency_pct,22.3,%,https://www.jinkosolar.com/uploads/JKM555-575N-72HL4-%28V%29-F1-EN%20%28IEC%202016%29.pdf,manufacturer_datasheet_seed,manufacturer_datasheet,SOLARYN_V9.2.1_packaged_seed_2026-08-25,yes
MOD_TOPCON_JINKO_JKM575N_72HL4_V,first_year_retention_pct,99.0,%,https://www.jinkosolar.com/uploads/JKM555-575N-72HL4-%28V%29-F1-EN%20%28IEC%202016%29.pdf,manufacturer_datasheet_seed,manufacturer_datasheet,SOLARYN_V9.2.1_packaged_seed_2026-08-25,yes
MOD_TOPCON_JINKO_JKM575N_72HL4_V,annual_warranty_degradation_pct_year,0.4,%/year,https://www.jinkosolar.com/uploads/JKM555-575N-72HL4-%28V%29-F1-EN%20%28IEC%202016%29.pdf,manufacturer_datasheet_seed,manufacturer_datasheet,SOLARYN_V9.2.1_packaged_seed_2026-08-25,yes
MOD_TOPCON_JINKO_JKM575N_72HL4_V,warranty_years,30,years,https://www.jinkosolar.com/uploads/JKM555-575N-72HL4-%28V%29-F1-EN%20%28IEC%202016%29.pdf,manufacturer_datasheet_seed,manufacturer_datasheet,SOLARYN_V9.2.1_packaged_seed_2026-08-25,yes
MOD_TOPCON_JINKO_JKM575N_72HL4_V,quote_usd_w,,USD/W,https://www.jinkosolar.com/uploads/JKM555-575N-72HL4-%28V%29-F1-EN%20%28IEC%202016%29.pdf,supplier_quote_user_input,manufacturer_datasheet,SOLARYN_V9.2.1_packaged_seed_2026-08-25,no_missing_disables_economics
MOD_HJT_REC_ALPHA_PURE_RX_470,pmax_w,470.0,W,https://www.recgroup.com/sites/default/files/2025-11/DS_Alpha_Pure-RX_IEC_EN_AUCEC_101125.pdf,manufacturer_datasheet_seed,manufacturer_datasheet,SOLARYN_V9.2.1_packaged_seed_2026-08-25,yes
MOD_HJT_REC_ALPHA_PURE_RX_470,vmp_v,55.4,V,https://www.recgroup.com/sites/default/files/2025-11/DS_Alpha_Pure-RX_IEC_EN_AUCEC_101125.pdf,manufacturer_datasheet_seed,manufacturer_datasheet,SOLARYN_V9.2.1_packaged_seed_2026-08-25,yes
MOD_HJT_REC_ALPHA_PURE_RX_470,imp_a,8.49,A,https://www.recgroup.com/sites/default/files/2025-11/DS_Alpha_Pure-RX_IEC_EN_AUCEC_101125.pdf,manufacturer_datasheet_seed,manufacturer_datasheet,SOLARYN_V9.2.1_packaged_seed_2026-08-25,yes
MOD_HJT_REC_ALPHA_PURE_RX_470,voc_v,65.7,V,https://www.recgroup.com/sites/default/files/2025-11/DS_Alpha_Pure-RX_IEC_EN_AUCEC_101125.pdf,manufacturer_datasheet_seed,manufacturer_datasheet,SOLARYN_V9.2.1_packaged_seed_2026-08-25,yes
MOD_HJT_REC_ALPHA_PURE_RX_470,isc_a,8.95,A,https://www.recgroup.com/sites/default/files/2025-11/DS_Alpha_Pure-RX_IEC_EN_AUCEC_101125.pdf,manufacturer_datasheet_seed,manufacturer_datasheet,SOLARYN_V9.2.1_packaged_seed_2026-08-25,yes
MOD_HJT_REC_ALPHA_PURE_RX_470,alpha_isc_pct_c,0.04,%/C,https://www.recgroup.com/sites/default/files/2025-11/DS_Alpha_Pure-RX_IEC_EN_AUCEC_101125.pdf,manufacturer_datasheet_seed,manufacturer_datasheet,SOLARYN_V9.2.1_packaged_seed_2026-08-25,yes
MOD_HJT_REC_ALPHA_PURE_RX_470,beta_voc_pct_c,-0.24,%/C,https://www.recgroup.com/sites/default/files/2025-11/DS_Alpha_Pure-RX_IEC_EN_AUCEC_101125.pdf,manufacturer_datasheet_seed,manufacturer_datasheet,SOLARYN_V9.2.1_packaged_seed_2026-08-25,yes
MOD_HJT_REC_ALPHA_PURE_RX_470,gamma_pmax_pct_c,-0.24,%/C,https://www.recgroup.com/sites/default/files/2025-11/DS_Alpha_Pure-RX_IEC_EN_AUCEC_101125.pdf,manufacturer_datasheet_seed,manufacturer_datasheet,SOLARYN_V9.2.1_packaged_seed_2026-08-25,yes
MOD_HJT_REC_ALPHA_PURE_RX_470,cells_in_series,88,count,https://www.recgroup.com/sites/default/files/2025-11/DS_Alpha_Pure-RX_IEC_EN_AUCEC_101125.pdf,manufacturer_datasheet_seed,manufacturer_datasheet,SOLARYN_V9.2.1_packaged_seed_2026-08-25,yes
MOD_HJT_REC_ALPHA_PURE_RX_470,module_area_m2,2.08,m2,https://www.recgroup.com/sites/default/files/2025-11/DS_Alpha_Pure-RX_IEC_EN_AUCEC_101125.pdf,manufacturer_datasheet_seed,manufacturer_datasheet,SOLARYN_V9.2.1_packaged_seed_2026-08-25,yes
MOD_HJT_REC_ALPHA_PURE_RX_470,module_efficiency_pct,22.6,%,https://www.recgroup.com/sites/default/files/2025-11/DS_Alpha_Pure-RX_IEC_EN_AUCEC_101125.pdf,manufacturer_datasheet_seed,manufacturer_datasheet,SOLARYN_V9.2.1_packaged_seed_2026-08-25,yes
MOD_HJT_REC_ALPHA_PURE_RX_470,first_year_retention_pct,98.0,%,https://www.recgroup.com/sites/default/files/2025-11/DS_Alpha_Pure-RX_IEC_EN_AUCEC_101125.pdf,manufacturer_datasheet_seed,manufacturer_datasheet,SOLARYN_V9.2.1_packaged_seed_2026-08-25,yes
MOD_HJT_REC_ALPHA_PURE_RX_470,annual_warranty_degradation_pct_year,0.25,%/year,https://www.recgroup.com/sites/default/files/2025-11/DS_Alpha_Pure-RX_IEC_EN_AUCEC_101125.pdf,manufacturer_datasheet_seed,manufacturer_datasheet,SOLARYN_V9.2.1_packaged_seed_2026-08-25,yes
MOD_HJT_REC_ALPHA_PURE_RX_470,warranty_years,25,years,https://www.recgroup.com/sites/default/files/2025-11/DS_Alpha_Pure-RX_IEC_EN_AUCEC_101125.pdf,manufacturer_datasheet_seed,manufacturer_datasheet,SOLARYN_V9.2.1_packaged_seed_2026-08-25,yes
MOD_HJT_REC_ALPHA_PURE_RX_470,quote_usd_w,,USD/W,https://www.recgroup.com/sites/default/files/2025-11/DS_Alpha_Pure-RX_IEC_EN_AUCEC_101125.pdf,supplier_quote_user_input,manufacturer_datasheet,SOLARYN_V9.2.1_packaged_seed_2026-08-25,no_missing_disables_economics
MOD_CDTE_FIRST_SOLAR_SERIES7_TR1_530,pmax_w,530.0,W,https://www.firstsolar.com/-/media/First-Solar/Technical-Documents/Series-7/Series-7-TR1-Datasheet.ashx,manufacturer_datasheet_seed,manufacturer_datasheet,SOLARYN_V9.2.1_packaged_seed_2026-08-25,yes
MOD_CDTE_FIRST_SOLAR_SERIES7_TR1_530,vmp_v,186.9,V,https://www.firstsolar.com/-/media/First-Solar/Technical-Documents/Series-7/Series-7-TR1-Datasheet.ashx,manufacturer_datasheet_seed,manufacturer_datasheet,SOLARYN_V9.2.1_packaged_seed_2026-08-25,yes
MOD_CDTE_FIRST_SOLAR_SERIES7_TR1_530,imp_a,2.84,A,https://www.firstsolar.com/-/media/First-Solar/Technical-Documents/Series-7/Series-7-TR1-Datasheet.ashx,manufacturer_datasheet_seed,manufacturer_datasheet,SOLARYN_V9.2.1_packaged_seed_2026-08-25,yes
MOD_CDTE_FIRST_SOLAR_SERIES7_TR1_530,voc_v,226.7,V,https://www.firstsolar.com/-/media/First-Solar/Technical-Documents/Series-7/Series-7-TR1-Datasheet.ashx,manufacturer_datasheet_seed,manufacturer_datasheet,SOLARYN_V9.2.1_packaged_seed_2026-08-25,yes
MOD_CDTE_FIRST_SOLAR_SERIES7_TR1_530,isc_a,3.05,A,https://www.firstsolar.com/-/media/First-Solar/Technical-Documents/Series-7/Series-7-TR1-Datasheet.ashx,manufacturer_datasheet_seed,manufacturer_datasheet,SOLARYN_V9.2.1_packaged_seed_2026-08-25,yes
MOD_CDTE_FIRST_SOLAR_SERIES7_TR1_530,alpha_isc_pct_c,0.04,%/C,https://www.firstsolar.com/-/media/First-Solar/Technical-Documents/Series-7/Series-7-TR1-Datasheet.ashx,manufacturer_datasheet_seed,manufacturer_datasheet,SOLARYN_V9.2.1_packaged_seed_2026-08-25,yes
MOD_CDTE_FIRST_SOLAR_SERIES7_TR1_530,beta_voc_pct_c,-0.28,%/C,https://www.firstsolar.com/-/media/First-Solar/Technical-Documents/Series-7/Series-7-TR1-Datasheet.ashx,manufacturer_datasheet_seed,manufacturer_datasheet,SOLARYN_V9.2.1_packaged_seed_2026-08-25,yes
MOD_CDTE_FIRST_SOLAR_SERIES7_TR1_530,gamma_pmax_pct_c,-0.32,%/C,https://www.firstsolar.com/-/media/First-Solar/Technical-Documents/Series-7/Series-7-TR1-Datasheet.ashx,manufacturer_datasheet_seed,manufacturer_datasheet,SOLARYN_V9.2.1_packaged_seed_2026-08-25,yes
MOD_CDTE_FIRST_SOLAR_SERIES7_TR1_530,cells_in_series,268,count,https://www.firstsolar.com/-/media/First-Solar/Technical-Documents/Series-7/Series-7-TR1-Datasheet.ashx,manufacturer_datasheet_seed,manufacturer_datasheet,SOLARYN_V9.2.1_packaged_seed_2026-08-25,yes
MOD_CDTE_FIRST_SOLAR_SERIES7_TR1_530,module_area_m2,2.8,m2,https://www.firstsolar.com/-/media/First-Solar/Technical-Documents/Series-7/Series-7-TR1-Datasheet.ashx,manufacturer_datasheet_seed,manufacturer_datasheet,SOLARYN_V9.2.1_packaged_seed_2026-08-25,yes
MOD_CDTE_FIRST_SOLAR_SERIES7_TR1_530,module_efficiency_pct,19.0,%,https://www.firstsolar.com/-/media/First-Solar/Technical-Documents/Series-7/Series-7-TR1-Datasheet.ashx,manufacturer_datasheet_seed,manufacturer_datasheet,SOLARYN_V9.2.1_packaged_seed_2026-08-25,yes
MOD_CDTE_FIRST_SOLAR_SERIES7_TR1_530,first_year_retention_pct,98.0,%,https://www.firstsolar.com/-/media/First-Solar/Technical-Documents/Series-7/Series-7-TR1-Datasheet.ashx,manufacturer_datasheet_seed,manufacturer_datasheet,SOLARYN_V9.2.1_packaged_seed_2026-08-25,yes
MOD_CDTE_FIRST_SOLAR_SERIES7_TR1_530,annual_warranty_degradation_pct_year,0.3,%/year,https://www.firstsolar.com/-/media/First-Solar/Technical-Documents/Series-7/Series-7-TR1-Datasheet.ashx,manufacturer_datasheet_seed,manufacturer_datasheet,SOLARYN_V9.2.1_packaged_seed_2026-08-25,yes
MOD_CDTE_FIRST_SOLAR_SERIES7_TR1_530,warranty_years,30,years,https://www.firstsolar.com/-/media/First-Solar/Technical-Documents/Series-7/Series-7-TR1-Datasheet.ashx,manufacturer_datasheet_seed,manufacturer_datasheet,SOLARYN_V9.2.1_packaged_seed_2026-08-25,yes
MOD_CDTE_FIRST_SOLAR_SERIES7_TR1_530,quote_usd_w,,USD/W,https://www.firstsolar.com/-/media/First-Solar/Technical-Documents/Series-7/Series-7-TR1-Datasheet.ashx,supplier_quote_user_input,manufacturer_datasheet,SOLARYN_V9.2.1_packaged_seed_2026-08-25,no_missing_disables_economics
PROJECT_RIYADH_2020,latitude,24.7136,degree,user_frozen_benchmark_assumption,declared_project_assumption,scenario_or_user_input,benchmark_2026-08-25,yes
PROJECT_RIYADH_2020,longitude,46.6753,degree,user_frozen_benchmark_assumption,declared_project_assumption,scenario_or_user_input,benchmark_2026-08-25,yes
PROJECT_RIYADH_2020,reference_year,2020,year,user_frozen_benchmark_assumption,declared_project_assumption,scenario_or_user_input,benchmark_2026-08-25,yes
PROJECT_RIYADH_2020,tilt,25.0,degree,user_frozen_benchmark_assumption,declared_project_assumption,scenario_or_user_input,benchmark_2026-08-25,yes
PROJECT_RIYADH_2020,azimuth,180.0,degree,user_frozen_benchmark_assumption,declared_project_assumption,scenario_or_user_input,benchmark_2026-08-25,yes
PROJECT_RIYADH_2020,albedo,0.2,ratio,user_frozen_benchmark_assumption,declared_project_assumption,scenario_or_user_input,benchmark_2026-08-25,yes
PROJECT_RIYADH_2020,common_soiling_loss,2.0,%,user_frozen_benchmark_assumption,declared_project_assumption,scenario_or_user_input,benchmark_2026-08-25,yes
PROJECT_RIYADH_2020,common_degradation_scenario,0.5,%/year,user_frozen_benchmark_assumption,declared_project_assumption,scenario_or_user_input,benchmark_2026-08-25,yes
PROJECT_RIYADH_2020,poc_decision_guardrail,2.0,%,user_frozen_benchmark_assumption,declared_project_assumption,scenario_or_user_input,benchmark_2026-08-25,yes
