irradiance_w_m2,module_temperature_c,pmax_w,measurement_uncertainty_pct,source_reference
100,15,,,
100,25,,,
200,15,,,
200,25,,,
400,15,,,
400,25,,,
400,50,,,
600,15,,,
600,25,,,
600,50,,,
600,75,,,
800,15,,,
800,25,,,
800,50,,,
800,75,,,
1000,15,,,
1000,25,,,
1000,50,,,
1000,75,,,
1100,25,,,
1100,50,,,
1100,75,,,
